Status,Features,Part number # indicates the package specification code.,L size,W size,T size,Size code inch (mm),Inductance,Inductance Tolerance,Rated Current (Itemp),Rated Current (Isat),Rdc (max.),SRF (min.),Series
In Production,"General,125?,WoundNonmag",LQW15AN68NJ00#,1.0 ±0.1mm,0.5 ±0.1mm,0.5 ±0.1mm,0402 (1005),68nH,±5%,140mA,,1.96?,2.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N2B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.2nH,±0.1nH,700mA,,0.09?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N2C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.2nH,±0.2nH,700mA,,0.09?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N2D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.2nH,±0.5nH,700mA,,0.09?,8.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N3B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.3nH,±0.1nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N3C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.3nH,±0.2nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N3D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.3nH,±0.5nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N4B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.4nH,±0.1nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N4C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.4nH,±0.2nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N4D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.4nH,±0.5nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N5B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.5nH,±0.1nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N5C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.5nH,±0.2nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N5D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.5nH,±0.5nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N6B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.6nH,±0.1nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N6C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.6nH,±0.2nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N6D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.6nH,±0.5nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N7B00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.7nH,±0.1nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N7C00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.7nH,±0.2nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N7D00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.7nH,±0.5nH,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N8G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.8nH,±2%,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N8H00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.8nH,±3%,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N8J00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.8nH,±5%,700mA,,0.09?,6.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN6N9G00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),6.9nH,±2%,570mA,,0.13?,6.0GHz,LQW15AN_00
